exercise_id,name,type,equipment,equipment_db_key,muscle,difficulty,sets,reps,duration_min,calories_burned_per_set,rest_sec,notes,goal_tags,body_part_tag,firebase_equipment_category,min_equipment_required,recommended_for_member_category,firebase_fetch_key
EC014,Bodyweight Box Step-Ups,cardio,bodyweight,bodyweight,legs;glutes,beginner,3.0,15 each leg,5-10,65,30,Use any step or platform; alternate legs; great low-impact cardio,fat_loss;maintenance,lower,cardio,none,cardio,equipment/bodyweight
EC015,Jump Rope - Alternate Foot,cardio,jump rope,jump_rope,legs;calves;core,beginner,,,5-10,100,30,Alternate feet while skipping; good for coordination and stamina,fat_loss;endurance;maintenance,lower,cardio,jump rope,cardio,equipment/jump_rope
E006,Push Ups,strength,bodyweight,bodyweight,chest,beginner,3.0,10-15,,8,60,keep body straight; elbows at 45 degrees,fat_loss;muscle_gain;maintenance,upper,,,,
E007,Bodyweight Squats,strength,bodyweight,bodyweight,legs,beginner,3.0,12-15,,7,60,controlled motion; full depth preferred,fat_loss;muscle_gain;maintenance,lower,,,,
E008,Plank,strength,bodyweight,bodyweight,core,beginner,3.0,30-60 sec,,5,45,keep core tight; breathe steadily,fat_loss;maintenance,core,,,,
E009,Dumbbell Curl,strength,dumbbell,dumbbell,biceps,beginner,3.0,10-12,,9,60,avoid swinging; slow eccentric,muscle_gain;maintenance,upper,,,,
E010,Dumbbell Shoulder Press,strength,dumbbell,dumbbell,shoulders,intermediate,3.0,8-10,,11,75,full range of motion; seated or standing,muscle_gain;maintenance,upper,,,,
E011,Dumbbell Lunges,strength,dumbbell,dumbbell,legs,intermediate,3.0,10-12 each,,10,60,balance and control; step forward evenly,muscle_gain;fat_loss,lower,,,,
E012,Barbell Bench Press,strength,barbell,barbell,chest,intermediate,4.0,6-10,,14,90,spotter recommended; retract scapula,muscle_gain,upper,,,,
E013,Barbell Squat,strength,barbell,barbell,legs,intermediate,4.0,6-10,,15,90,maintain posture; bar on traps,muscle_gain,lower,,,,
E014,Deadlift,strength,barbell,barbell,back,advanced,4.0,5-8,,16,120,keep spine neutral; hip hinge pattern,muscle_gain,full,,,,
E015,Leg Press,strength,leg press,leg press,legs,beginner,3.0,10-12,,12,75,controlled reps; do not lock knees,muscle_gain;fat_loss,lower,,,,
E016,Chest Press Machine,strength,chest press,chest press,chest,beginner,3.0,10-12,,10,60,adjust seat height; push evenly,muscle_gain;fat_loss,upper,,,,
E017,Lat Pulldown,strength,lat pulldown,lat pulldown,back,beginner,3.0,10-12,,10,60,avoid jerking; pull to upper chest,muscle_gain;maintenance,upper,,,,
E018,Cable Row,strength,cable machine,cable machine,back,intermediate,3.0,10-12,,11,60,squeeze back at peak; elbows close,muscle_gain;maintenance,upper,,,,
E019,Shoulder Press Machine,strength,shoulder press,shoulder press,shoulders,beginner,3.0,10-12,,9,60,controlled movement; no momentum,muscle_gain;maintenance,upper,,,,
E020,Tricep Pushdown,strength,cable machine,cable machine,triceps,beginner,3.0,10-12,,8,60,elbows fixed; full extension at bottom,muscle_gain;maintenance,upper,,,,
